C Cable is bed,Charging is no fast for c Cable
Mobile,Good product on time Overall satisfied
Mobile is not good,I m totally unhappy
,Excellent
Good product value for money and grat performance best buy mobile,product value for money and grat performance best buy mobile
Excellent Product,so nice this phone is so cool and was awesome
Best Phone Under k,Best Camera Phone Excellent phone with awesome performance Good Camera Excellent battery backup
,Best at this price and is more better than the note I recommend every one to buy this phone This is absolutely amazing
Very good,is awesome go for it camera quality is nice and reliable
Value for money,Value for money
Good Product,best Mobile and best feature
A BANG FOR BUCK PHONE BUT,Quick Charge Yes it really quick I haven t measured but the brand Fast battery charging in min NOTE Quick charge only works when the screen is off and the device is no used when charging Snapdragon So no or stuttering in any Due to Snapdragon play like a breeze Aluminium build premium and easy in hand t slip out unlike the It s very rugged and built to last for day to day usage I have accidentally it a few times and not a single scratch and tear shown up without a back cover I m not quite sure about the camera glass which may or may not get Camera is good in its price The come out great in proper lighting or in sunlight but struggle a bit when in low like most other However the noise in the when taken in low is comparatively less when to its like Note Note out of sale Cellular call quality is good and praiseworthy Audio quality is good as well works out of the box Enjoy free calling with The displayed are vibrant and natural Screen quality is good like there s no Corning Gorilla Glass protection but I don t think you would need a tempered screen guard I have been it without any screen and there t been a single scratch till date In fact the touch experience is better and more fluid without a screen protector I t recommend for any tempered screen Let s just come down to the real Charging cable is faulty or will soon get faulty is of the The main reason behind this is the poor quality of the cable Due to Quick Charge the amount of heat and resistance in the inner becomes high which out part of the That s why your device won t charge any more SOLUTION Buy a good quality and considerably thick Type C cable from your local Haven t checked with other There is a slight buzz vibrating sound when there is a sharp treble in the been It might be my specific device this issue but definitely check for it in your device as well It might be a defect Haven t checked with other At first when connected to a or a Mac the device would only charge and no option for Media Transfer Protocol or Photo Transfer Protocol was shown Later I fixed the issue by flashing via the spare image file on to it and later flashing via its own file However a second issue up On to a and option the device would disconnect and reconnect for five times before finally getting connected I would recommend you to check for the same You cannot listen with and charge the device at the same time unless it s a earphone The placement of speaker is very weird and non Looking from the bottom to the right are the for the speaker which can get easily covered while or watching SUBJECTIVE The namely The developer team tried to make it look like but finally got tired when they that it s not that easy So was born The are very stupid to look at The notification panel t have any and the real are in the recent window SOLUTION Just flash the latest official Resurrection Remix I would recommend the one and you will be all good Source link goo E A Maximum volume is still low when to other similar priced Heating while long sessions of is a normal thing So no need to worry about it In my personal usage the device seldom got up when for more than RECOMMENDATION I would definitely recommend you the Just have a Type C cable at hand and everything will be all good After all after the Note going out of sale only the under the k budget
Overall good phone at this budget,If you are lover this would satisfy you And battery for normal usage is good And built is bit delicate Connectivity like data and are really good Back camera is
Delivery time is awesome,Hi delivery time is awesome only in and discount offer is very good thank you team in I bought lots of the delivery timing is late
Good smart phone,It s perfectly good
Good Product,just a deal with snap
